丶丶,OdOd	⺀
亻{云变}⺼乚,HrZyFyAe	𠋃
亻⺷女,HrSyWn	𠋄
人戶𠕁,HrDhYc	𠋅
亻立木,HrXlYm	𠋆
亻米阝,HrFmXe	𠋇
亻亠大,HrLtRhId	𠋈
亻飛,HrGf	𠋉
亻不用,HrRbGy	𠋊
亻口大,HrLkKkId	𠋋
亻山厂火,HrUsUcRh	𠋌
亻日儿夂,HrUrReJi	𠋍
亻⺈心,HrDdWjLx	𠋎
亻厶貝,HrIsRb	𠋏
亻丿囗丷丨一ㄅ,HrTpAkAe	𠋐
亼目口,ZiEmKk	𠋑
亼{双口}一ㄅ,ZiPxDiAe	𠋒
人小尸,HrIxFs	𠋓
人山幺幺,HrUsDyDy	𠋔
亻工几木,HrLgQjYm	𠋕
亻束丷,HrTsNb	𠋖
亻工幺幺,HrLgDyDy	𠋗
亻戊一女,HrMuDiWn	𠋘
亻大人人刂,HrIdHrNd	𠋙
亻大丷⺝,HrIdNbFy	𠋚
亻丨攴⺼,HrHsApFy	𠋛
亻二口,HrRhNeKk	𠋜
亻目小丿,HrEmIxTp	𠋝
亻虫也,HrVcEy	𠋞
亻臼人,HrYjHr	𠋟
亻爫一𠂇又,HrIaDiTy	𠋠
亻,HrHs	𠋡
亻宀火又,HrGgRhTy	𠋢
亻可,HrXlEk	𠋣
亻宀至,HrGgGi	𠋤
亻目,HrFsEm	𠋥
亻甘木,HrFgYm	𠋦
亻忄{凬字心}一,HrLxScDi	𠋧
亻{双口}一儿,HrPxDiRe	𠋨
亻亠日夂,HrLtUrJi	𠋩
亻宀臣,HrGgEc	𠋪
亻亻矢,HrHrVkGs	𠋫
亻目犬,HrEmAq	𠋬
亻口,HrZyKcKk	𠋭
亻𠂇丨土冂人,HrPsHsHr	𠋮
亻爫臼,HrIaYj	𠋯
亻土,HrEtRhAg	𠋰
亻尸⺌⺝,HrFsIxFy	𠋱
亻十冖糸,HrPsGgFs	𠋲
亻癶矢,HrNbGs	𠋳
亻火火刂,HrRhRhNd	𠋴
亻虍文,HrShLw	𠋵
亻冖日六,HrGgUrMl	𠋶
亻屮一虫,HrMcDiVc	𠋷
亻工口木,HrLgKkYm	𠋸
亻勹日八一ㄅ,HrAkUrAe	𠋹
亻又丶丶虫,HrTyOdVc	𠋺
亻田儿夂,HrCtReJi	𠋻
亻囗五口,HrAkUuKk	𠋼
亻大丿士廴,HrIdTpRy	𠋽
亻王龴木,HrRwIsYm	𠋾
亻土,HrRmEt	𠋿
亻爫予八,HrIaOvNb	𠌀
亻㐅𠂇口丸,HrEiPsLo	𠌁
人乂乂乂乂十,HrEiEiPs	𠌂
亻卯田,HrRmCt	𠌃
亻尸龷,HrFsPnQi	𠌄
亻艹夕夕,HrZcVxVx	𠌅
人王卯,HrRwRm	𠌆
亻丶阝,HrOdPgXe	𠌇
亼人人𠕁,ZiHrHrYc	𠌈
人土⺶㇏,HrEtSyOd	𠌉
木人人巴,YmHrHrBb	𠌊
亻谷㇈𠂇,HrYgAePs	𠌋
亻穴入夕,HrAxVuVx	𠌌
亻丷夫文,HrNbGfLw	𠌍
亻米灬,HrFmRh	𠌎
亻⺍一夕㐄,HrMsDiLk	𠌏
亻覀一儿丿,HrUxDiTp	𠌐
亼一口勹巳,ZiDiKkVs	𠌑
亻虫攵,HrVcAp	𠌒
人⺿日十,HrZcUrPs	𠌓
亻白大⺋,HrJbIdWj	𠌔
人人人,HrNdHrNd	𠌕
亻工几丶木,HrLgQjYm	𠌖
亻弋貝,HrXiRb	𠌗
亻一自夂,HrDiViJi	𠌘
亻丨革,HrHsRg	𠌙
亻丨丿丿土冂十,HrHsTpPs	𠌚
亻囗一自,HrAkDiVi	𠌛
亻口言,HrKkDy	𠌜
亻山一几攵,HrUsDiAp	𠌝
亻丿且𠂇又,HrTpHqTy	𠌞
亻白皮,HrJbNp	𠌟
亻爫至,HrIaGi	𠌠
亻䒑大辶,HrNbIdJc	𠌡
亻谷丸,HrYgLo	𠌢
亻宀丿口,HrGgWjKk	𠌣
亻千心,HrNqNqLx	𠌤
亻烏,HrGu	𠌥
亻糹冂人,HrFsJkHr	𠌦
亻亼口手,HrZiKkOs	𠌧
亻匚非,HrVkLf	𠌨
亻冫馬几,HrGbNmQj	𠌩
亻丨攵目,HrHsApEm	𠌪
亻田艹,HrCtZcOs	𠌫
亻尸氺牛,HrFsMsXn	𠌬
亻亠幺冫十,HrLtDyPs	𠌭
亻广廿灬,HrBgPnRh	𠌮
亻亠㐅凵⽱,HrLtEiAr	𠌯
亻旡,HrPgCu	𠌰
亻大隹,HrIdMi	𠌱
亻車斤,HrQcSj	𠌲
亻力口冂人人,HrClKkHr	𠌳
人㇏臼,HrJfOdYj	𠌴
亻鳥,HrGn	𠌵
亻人人人人二ㄅ,HrHrHrAe	𠌶
亻土丸,HrEtSyLo	𠌷
亻尸丿丿干,HrFsTpZg	𠌸
亻止日,HrLiUrLi	𠌹
亼人人丨人人丨,ZiHrHrHs	𠌺
亻火火⺄十,HrRhRhPs	𠌻
亻{双口}丨心,HrPxHsLx	𠌼
亻甫方,HrBfMf	𠌽
亻⺿丿扌,HrZcTpAg	𠌾
亻广一龰,HrBgDiLi	𠌿
亻氵木日,HrMsYmUr	𠍀
亻𠂉母攵,HrStPmAp	𠍁
亻爫口木,HrIaKkYm	𠍂
亻飠几,HrHsQj	𠍃
亻,HrOy	𠍄
亻⿆,HrLm	𠍅
亻⺿禾刂,HrZcBhNd	𠍆
亻歺又木,HrSdTyYm	𠍇
亻匕匕二,HrAtWbNe	𠍈
亻亠幺冖牛,HrLtDyXn	𠍉
亻宀亻一白,HrGgHrJb	𠍊
亻丶弓厶虫,HrOdCgVc	𠍋
亻宀心心,HrGgLxLx	𠍌
亻覀大厶,HrUxIdIs	𠍍
亻一弋貝,HrDiXiRb	𠍎
亻束攵,HrTsAp	𠍏
亼龴犭瓜,ZiIsAqSg	𠍐
亻⺿又夂,HrZcEjJi	𠍑
亻門口,HrSmKk	𠍒
亻山侖,HrUsFl	𠍓
亻⺿{双口}丨,HrZcPxHs	𠍔
亻山日匕,HrUsUrWb	𠍕
亻金勹丶,HrWjAkOd	𠍖
亼口,ZiKkYj	𠍗
亼人人人人十,ZiHrHrPs	𠍘
亻王口木,HrRwKkYm	𠍙
亻一白囗乂,HrDiJbEi	𠍚
亻一白冂女,HrDiJbWn	𠍛
亻弋十目一,HrXiPsDi	𠍜
亻⺊勹木土,HrFbAkEt	𠍝
亻丨攵糸,HrHsApFs	𠍞
亻冂一口弗,HrJkDiXf	𠍟
亻谷㇈,HrYgAeOs	𠍠
亻衣由,HrQiUy	𠍡
亻予丿攵力,HrOvTpCl	𠍢
亻扌非,HrOsLf	𠍣
亻⺿十冖子,HrZcPsHi	𠍤
亻貝丿之,HrRbTpXi	𠍥
亻〢又貝,HrNdTyRb	𠍦
亻犭屮一土,HrAqMcEt	𠍧
亻麻,HrAm	𠍨
亻一白大,HrDiJbNd	𠍩
亻豕灬,HrHsRh	𠍪
亻㐅𠂇巾欠,HrEiPsPq	𠍫
亻日甲,HrWbUrHj	𠍬
亻立口及,HrXlKkFj	𠍭
亻丿人人人人土,HrTpHrEt	𠍮
亻㡀攵,HrIbAp	𠍯
亻⻊土寸,HrIuEtOc	𠍰
亻隹木,HrMiYm	𠍱
亻氵匚コ木,HrMsVkYm	𠍲
龷人人丨人人丨,PnHrHrHs	𠍳
亻一大一大心,HrDiIdLx	𠍴
亻⺷丶水,HrSyOdMs	𠍵
亻{凬字心}丨勹灬,HrScHsRh	𠍶
亻木冂木冂,HrYmJkJk	𠍷
亻自亻人人,HrViHrHr	𠍸
亻⺮亼口,HrJuZiKk	𠍹
亼罒厶龰,ZiBsIsLi	𠍺
亻弓工工口,HrCgLgKk	𠍻
亻士冖豆,HrJsGgGd	𠍼
亻大耂日,HrIdRlUr	𠍽
亻匚日宀女,HrVkUrWn	𠍾
亻毌貝,HrNuRb	𠍿
亻歺㐄木,HrSdLkYm	𠎀
亻黑,HrNh	𠎁
亻亠目一尤,HrLtEmVy	𠎂
亼人人一人人十,ZiHrHrPs	𠎃
人子攵,HrQgHiAp	𠎄
亻工口寸,HrWjLgOc	𠎅
亻癶弓殳,HrNbCgRs	𠎆
亻丰口刀大,HrJfKkId	𠎇
亼口爫,ZiKkIaIv	𠎈
亻⻗云,HrXvZy	𠎉
亻木木木,HrYmYmYm	𠎊
亻文,HrXvLw	𠎋
亻火,HrXvRh	𠎌
亼口⺿亻,ZiKkZcWb	𠎍
亻壴彡,HrEuFs	𠎎
亼口月口丨,ZiKkFyHs	𠎏
亻⺿龶⺝,HrZcJfFy	𠎐
亻艹艹,HrZcOsZc	𠎑
亻門心,HrSmLx	𠎒
亻門文,HrSmLw	𠎓
亻牛牜牛,HrXnXnXn	𠎔
亻丨攵⺿㐄,HrHsApLk	𠎕
亻夕米,HrVxLkFm	𠎖
亻齊又,HrOqTy	𠎗
亼{双口}⽱,ZiPxAr	𠎘
木人人亼口,YmHrHrKk	𠎙
亼⺮𠕁,ZiJuYc	𠎚
亼乂乂乂乂一儿,ZiEiEiRe	𠎛
臼亽龴,YjZiIs	𠎜
亻夫夫心,HrGfGfLx	𠎝
亻月,HrFgNbFy	𠎞
亻十目一尤,HrPsEmVy	𠎟
亻日小,HrUrQgIx	𠎠
亻口頁,HrKkWy	𠎡
亻氵土厶心,HrMsEtLx	𠎢
亻覀大山,HrUxIdUs	𠎣
龠,Fl	𠎤
亻人人人人日,HrHrHrUr	𠎥
亻弓口虫,HrCgKkVc	𠎦
亻丰刀糸,HrJfNdFs	𠎧
亻糹亼口,HrFsZiKk	𠎨
亻非心,HrLfLx	𠎩
亻尸米女,HrFsFmWn	𠎪
亻十日十月,HrPsUrFy	𠎫
亻⺮土寸,HrJuEtOc	𠎬
亻龷⺝攵,HrPnFyAp	𠎭
亻厂䒑欠,HrUcNbPq	𠎮
亻氵日一勹,HrMsUrFs	𠎯
亻戈卅心,HrAgQsLx	𠎰
亻旡旡心,HrCuCuLx	𠎱
亻艹一日,HrZcDiUr	𠎲
亼木人禾,ZiYmHrBh	𠎳
亻尸毛𠂇巾,HrFsQmAj	𠎴
亻豕,HrXlHs	𠎵
人未戊𠃌,HrVwMuAe	𠎶
亻丿大非一,HrTpIdDi	𠎷
亻土人人囗口,HrEtHrKk	𠎸
亻㐄冖心夂,HrLkGgJi	𠎹
亻山鬼,HrUsEg	𠎺
亻⺁十目辶,HrUcPsJc	𠎻
亻覀示刂,HrUxLsNd	𠎼
亻火火冖⺄十,HrRhRhPs	𠎽
亻宀井巳,HrGgVjVs	𠎾
亻⺈用刀牛,HrDdGyXn	𠎿
亻冎口辶,HrUgKkJc	𠏀
亻阝鬼,HrXeEg	𠏁
亻豕豕土,HrHsHsEt	𠏂
亻虫丿扌,HrVcTpAg	𠏃
亻耳口丿土,HrVeKkEt	𠏄
亻穴尸屮凵,HrAxFsJk	𠏅
亻⺿勹甫,HrZcAkBf	𠏆
亼丨幺幺田,ZiHsDyCt	𠏇
亻勹勹缶,HrAkMcTf	𠏈
十日十人禾,PsUrPsBh	𠏉
亻一厂コ,HrDiRhRh	𠏊
亻田⽱心,HrCtArLx	𠏋
亻⺷見,HrSyDj	𠏌
亻𠂇工⺼辶,HrPsLgJc	𠏍
亼{双口}𠂉,ZiPxStLk	𠏎
廿口土{云变}人,PnKkEtHr	𠏏
亻肀片爿一,HrIvJpDi	𠏐
亻日一勹勹,HrUrDiFs	𠏑
亻⺿文,HrZcXvLw	𠏒
人口厶口,HrDhKkKk	𠏓
亻戈止疋,HrAgLiEs	𠏔
亻木覀女,HrYmUxWn	𠏕
亻大⺷灬,HrIdSyRh	𠏖
亻大丷日火,HrIdNbRh	𠏗
亻口言,HrKkKcDy	𠏘
亻鼠,HrEs	𠏙
亻亼月刂心,HrZiFyLx	𠏚
亻广龷八方,HrBgPnMf	𠏛
亻⺷言,HrSyDy	𠏜
亻夫夫目,HrGfGfEm	𠏝
亻工貝,HrLgRbAg	𠏞
亻亠囗口禾,HrLtAkBh	𠏟
亻⻊土土,HrIuEtEt	𠏠
亻亼龴,HrXvZiIs	𠏡
亻爫龴冂厶又乚,HrIaIsAe	𠏢
亻魚卩,HrAvWj	𠏣
亻夂㐄貝,HrJiLkRb	𠏤
亻山豆大,HrUsGdId	𠏥
亻勹丁,HrAkFsPd	𠏦
人口亼龴,HrDhKkIs	𠏧
亻穴勹丶心,HrAxAkLx	𠏨
亻山言欠,HrUsDyPq	𠏩
亻癶非一,HrNbLfDi	𠏪
亻臣子皿,HrEcHiHm	𠏫
亻言由一ㄅ,HrDyUyAe	𠏬
亻耳又亻人人,HrVeTyHr	𠏭
亻业⺷寸,HrOySyOc	𠏮
亻宀井手,HrGgVjOs	𠏯
亻一ㄅ灬,HrIlDiRh	𠏰
亻土人人貝,HrEtHrRb	𠏱
亻罒耂日,HrBsRlUr	𠏲
千里亻人,NqAlHrHr	𠏳
亻十冖田疋,HrPsGgEs	𠏴
亻几一鳥,HrQjDiGn	𠏵
亻宀頁刀,HrGgWyNd	𠏶
亻宀心丿虫,HrGgLxVc	𠏷
亼口丿丷𬺰丿丷𬺰,ZiKkTpPs	𠏸
亻覀囗王丶,HrUxAkOd	𠏹
亻匚虫貝,HrVkVcRb	𠏺
亻目,HrSdYgEm	𠏻
亻壴力口,HrEuClKk	𠏼
亻廿口土灬,HrPnKkRh	𠏽
亻臼人艮,HrYjHrPg	𠏾
亻自田丌,HrViCtZc	𠏿
亻⺁虎欠,HrUcShPq	𠐀
亻⺿冖一豕,HrZcGgHs	𠐁
人夕夕巾刀口,HrVxVxKk	𠐂
亻丨夂羽心,HrHsJiLx	𠐃
亻巛冂人匚口又,HrKcJkTy	𠐄
亻耳宀且,HrVeGgHq	𠐅
亻覀示寸,HrUxLsOc	𠐆
木人人木人人,YmHrHrHr	𠐇
亻自穴方,HrViAxMf	𠐈
亻⺮卩,HrJuPgWj	𠐉
亻臣又豆,HrEcTyGd	𠐊
亻月羽人彡,HrFyWvFs	𠐋
亻罒厶⺼匕,HrBsIsWb	𠐌
亻口丨女攵,HrNuKkAp	𠐍
亻⺿曰罒又,HrZcUyTy	𠐎
亻宀癶豆,HrGgNbGd	𠐏
亻艹示,HrZcNbLs	𠐐
亻十冖田厶龰,HrPsGgLi	𠐑
亻⺷,HrSyHs	𠐒
亻火火冖王丶,HrRhRhOd	𠐓
亻魚日,HrAvUr	𠐔
亻米夕㐄阝,HrFmVxXe	𠐕
僉殳,VqRs	𠐖
亼口目艮,ZiKkEmPg	𠐗
亻僉刂,HrVqNd	𠐘
亼⺝刂木木,ZiFyNdYm	𠐙
亻一鹿,HrDiRhIl	𠐚
亻罒土口𧘇,HrBsEtQi	𠐛
亻亠龷八言,HrLtPnDy	𠐜
亻冂古⻍,HrXlJkJc	𠐝
亻石石石,HrDsDsDs	𠐞
亻宀大丷日小,HrGgIdIx	𠐟
亻{双口}田一口,HrPxCtKk	𠐠
亻車,HrLfQc	𠐡
亻羽白二儿,HrWvJbRe	𠐢
亻工耳攵心,HrLgVeLx	𠐣
亻衣鬼,HrQiEg	𠐤
亻立口丨口心,HrXlKkLx	𠐥
亻衣罒水,HrQiBsMs	𠐦
亻卝罒冖目,HrZcBsEm	𠐧
亻口{双口}言,HrKkPxDy	𠐨
亻門⺈臼,HrSmDdYj	𠐩
亻卝{双口}耳,HrZcPxVe	𠐪
亻⺮冖工,HrJuWjLg	𠐫
亻禾乃頁,HrBhDnWy	𠐬
亻卝豕生,HrZcHsIs	𠐭
亻乂乂冖子,HrYjEiHi	𠐮
亻巳巳龷八辶,HrVsVsJc	𠐯
人止人止人止,HrLiHrLi	𠐰
十日日日十人,PsUrUrHr	𠐱
亻戈口一戈口一,HrAgKkDi	𠐲
亻虍田皿,HrShCtHm	𠐳
亻目一小丿糸,HrEmDiFs	𠐴
亻䒑自辶寸,HrNbViOc	𠐵
亻⻗隹,HrXvMi	𠐶
亻𠂒儿𠂒儿心,HrXnReLx	𠐷
人禾土隹,HrBhEtMi	𠐸
亻米日皿,HrFmUrHm	𠐹
亻止頁,HrLiLiWy	𠐺
亻宀井足,HrGgVjIu	𠐻
亻臣𠂉口{双口},HrEcStPx	𠐼
亻丿㠯止冖巾,HrTpTiAj	𠐽
亻頁,HrFgNbWy	𠐾
亻卝罒冖歹,HrZcBsWb	𠐿
亻十戈田龷八,HrPsAgNb	𠑀
亻僉欠,HrVqPq	𠑁
人止,HrLiIb	𠑂
亻士口鳥,HrJsKkGn	𠑃
亻言火火又,HrDyRhTy	𠑄
亻穴癶豆,HrAxNbGd	𠑅
亻門千臼,HrSmNqYj	𠑆
亻月丷夫貝,HrFyNbRb	𠑇
亻氵臣皿,HrMsEcHm	𠑈
亻谷艮辶,HrYgPgJc	𠑉
亻ツ厂工耳攵,HrMsUcAp	𠑊
人人人人人十王廾,HrHrHrZc	𠑋
亻丨虫貝辶,HrHsVcJc	𠑌
亻一自止巳八夂,HrDiViJi	𠑍
亻丿龱一火,HrYjTpRh	𠑎
亻⺿土人人言,HrZcEtDy	𠑏
人口人口,HrDhKkKk	𠑐
亻門爫臼,HrSmIaYj	𠑑
亻韋風,HrJwIf	𠑒
亻一心,HrDiIbLx	𠑓
亻日屮凵大米,HrUrMcFm	𠑔
亻卩言五口,HrKkWjKk	𠑕
亻立山鬼,HrXlUsEg	𠑖
亻丿龱大巳,HrYjTpVs	𠑗
亻十目頁,HrPsEmWy	𠑘
亻宀立⺝{龍右},HrGgXlDa	𠑙
亻一自止巳八夂,HrDiViJi	𠑚
亻卝句冖止攵,HrZcEjAp	𠑛
人口米皿,HrDhKkHm	𠑜
人禾羽隹,HrBhWvMi	𠑝
亻臼人艮辶,HrYjHrJc	𠑞
亻自穴方辶,HrViAxJc	𠑟
亻非一,HrOqLfDi	𠑠
亻門爫豕,HrSmIaHs	𠑡
亻卝土八土丸云,HrZcEtZy	𠑢
亻冂一口巳,HrYjJkVs	𠑣
亻木日木日日,HrYmUrUr	𠑤
亻⺮士乛工一口寸,HrJuJsOc	𠑥
亻⺿丿㠯辛子,HrZcTpHi	𠑦
亻艹{双口}隹力,HrZcPxCl	𠑧
亻門工耳攵,HrSmLgAp	𠑨
亻目目隹又,HrEmEmTy	𠑩
亻{双口}頁{双口},HrPxWyPx	𠑪
亻⺸言言,HrSyDyDy	𠑫
亻飠土土土一儿,HrHsEtRe	𠑬
亻車車車,HrQcQcQc	𠑭
人口⻊目豕,HrKkIuHs	𠑮
亻土非一頁,HrEtLfWy	𠑯
人人人,HrWsHrWs	𠑰
亼囗⺌曰日小,ZiAkIxIx	𠑱
僉僉,VqVq	𠑲
人臣臣一止豕,HrEcEcHs	𠑳
亼口虫虫氵龶⺝,ZiKkVcFy	𠑴
亻覀土戈口一扌斤口,HrUxEtKk	𠑵
匚儿,VkRe	𠑶
⺊一儿,FbDiRe	𠑷
一ㄥ乚儿,DiAeAeRe	𠑸
儿匚コ,ReVkVk	𠑹
一宀儿,DiGgRe	𠑺
𠃌㇀亠几,AeDiLtQj	𠑻
コ儿,KkVkRe	𠑼
儿,QgRe	𠑽
⺈尸儿,DdFsRe	𠑾
一儿,OsDiRe	𠑿
土丷儿,EtNbRe	𠒀
丷尸儿,NbFsRe	𠒁
コ儿,KkVkRe	𠒂
入入丨一儿,VuVuHsRe	𠒃
屮凵一儿,McJkDiRe	𠒄
コ匚凵儿,VkVkJkRe	𠒅
丿龱儿,TpKlRe	𠒆
丿囗丷儿,TpAkNbRe	𠒇
十冖二儿,PsGgNeRe	𠒈
二儿ヿ土,NeReAeEt	𠒉
丨厶厶一几,HsIsIsQj	𠒊
亠㐅凵儿,LtEiJkRe	𠒋
⺿土儿,ZcEtRe	𠒌
臼丿乙,YjTpKi	𠒍
儿,GnRe	𠒎
㇏二儿,JfOdNeRe	𠒏
古儿一,OgReDiNd	𠒐
𠂒儿二儿,XnReNeRe	𠒑
𠂒儿弓丨,XnReCgHs	𠒒
二儿西,NeReUx	𠒓
一屮乚一屮乚,DiMcAeAe	𠒔
厶儿⺁,IsReUcQi	𠒕
十龷一儿,PsPnDiRe	𠒖
光日丨,WgUrHs	𠒗
古儿刀゛,OgReNdGb	𠒘
古儿斤,OgReSj	𠒙
古儿斗,OgReLd	𠒚
甲𠂒儿,HjXnRe	𠒛
二儿白儿,NeReJbRe	𠒜
光一冂人,WgDiJkHr	𠒝
二儿乚,NeReYjAe	𠒞
土句匕儿,EtEjWbRe	𠒟
古儿口一ㄅ,OgReKkAe	𠒠
光人斗,WgHrLd	𠒡
二儿兔,NeReAt	𠒢
𠂒儿行,XnRePx	𠒣
⺷儿⺈小,SyReDdIx	𠒤
光广木,WgBgYm	𠒥
光口丿口,WgKkTpKk	𠒦
木冂木冂儿,YmJkYmRe	𠒧
{云变}儿小,ZyReQgIx	𠒨
{云变}儿宀且,ZyReGgHq	𠒩
光田木,WgCtYm	𠒪
光日月,WgUrFy	𠒫
光戈口一,WgAgKkDi	𠒬
古儿丿糸,OgReTpFs	𠒭
儿冫龷日,ReGbGbUr	𠒮
冂人人臼儿,JkHrHrRe	𠒯
臼儿田力,YjReCtCl	𠒰
辟儿,MpRe	𠒱
古儿戈戈,OgReAgAg	𠒲
㡀攵厶儿,IbApIsRe	𠒳
白幺幺二儿,JbDyDyRe	𠒴
光束丷,WgTsNb	𠒵
土儿土儿土儿,EtReEtRe	𠒶
𠂒儿亻言,XnReHrDy	𠒷
自心光,ViLxWg	𠒸
束束儿,TsTsRe	𠒹
二儿虫貝,NeReVcRb	𠒺
二儿䒑业日,NeReNbUr	𠒻
光日光,WgUrWg	𠒼
光冖木日,WgGgYmUr	𠒽
儿龶母,AtReJfPm	𠒾
光冂古,WgXlJkOg	𠒿
𠂒儿田各,XnReCtKg	𠓀
光⺷丶水,WgSyOdMs	𠓁
光羽人彡,WgWvHrFs	𠓂
光小隹,WgIxMi	𠓃
儿馬,AtReNm	𠓄
光艹宀木,WgZcGgYm	𠓅
龶口儿龶口儿,JfKkReRe	𠓆
光丶月,WgOdPgFy	𠓇
古儿魚,OgReAv	𠓈
光光光,WgWgWg	𠓉
光{双口}田十,WgPxCtPs	𠓊
光罒土,WgBsEtSy	𠓋
光广䒑,WgBgNbRh	𠓌
儿曲豆,AtReEqGd	𠓍
古儿子攵,OgReQgAp	𠓎
古儿⺈厂八言,OgReDdDy	𠓏
光火火冖木,WgRhRhYm	𠓐
光魚日,WgAvUr	𠓑
光夫夫貝,WgGfGfRb	𠓒
光金日月,WgWjUrFy	𠓓
臼儿艹罒冖夕,YjReZcVx	𠓔
二儿𠂒儿𠂒儿貝,NeReXnRb	𠓕
光門束丷,WgSmTsNb	𠓖
兔兔兔,AtAtAt	𠓗
土土土一儿壴口,EtEtEtKk	𠓘
𠂒儿𠂒儿𠂒儿𠂒儿,XnReXnRe	𠓙
光⺿門束丷,WgZcSmNb	𠓚
入一,VuDi	𠓛
入入,VuVu	𠓜
入十,VuPs	𠓝
入二,VuNe	𠓞
入𠂉乙,VuStKi	𠓟
入攴,VuAp	𠓠
入二,VuNeNd	𠓡
入手,VuOs	𠓢
入心,VuLx	𠓣
入{凬字心},VuSc	𠓤
亼攴,ZiAp	𠓥
入田,VuCt	𠓦
入丿丷𬺰,VuTpNbPs	𠓧
勹巳入,AkVsVu	𠓨
耒入,TlVu	𠓩
人丨人丨人丨,HrHsHrHs	𠓪
入,VuSjNb	𠓫
文口入,LwKkVu	𠓬
入木木,VuYmYm	𠓭
入靣,VuXm	𠓮
入穴工,VuAxLg	𠓯
入王又又,VuRwTyTy	𠓰
入幺幺大,VuDyDyId	𠓱
入夕㐄木,VuVxLkYm	𠓲
人王卯,HrRwRm	𠓳
人王丣,HrRwRm	𠓴
入大乂乂乂乂,VuIdEiEi	𠓵
艹冖巾入,ZcGgAjVu	𠓶
入大乂乂乂乂,VuIdEiEi	𠓷
入旡旡木,VuCuCuYm	𠓸
人王侖,HrRwFl	𠓹
𠂉卌一灬入,StUxDiVu	𠓺
人王侖,HrRwFl	𠓻
入木隹十,VuYmMiPs	𠓼
入車,VuLfQc	𠓽
人王人王人王,HrRwHrRw	𠓾
入非匚非,VuLfVkLf	𠓿
一,NbDi	𠔀
,NbNb	𠔁
忄,LxNb	𠔂
䒑ㄅ,NbAe	𠔃
䒑乚,NbAe	𠔄
八尸,NbFs	𠔅
尸,NbFs	𠔆
辶,NbJc	𠔇
口丨,NbKkHs	𠔈
八夫,NbGf	𠔉
一,SjDiNb	𠔊
囗乂,NbAkEi	𠔋
谷,Yg	𠔌
八由,NbUy	𠔍
,YgOs	𠔎
廿一八,PnDiNb	𠔏
耳八,VeNb	𠔐
八刀八刀,NbNdNbNd	𠔑
,NbYj	𠔒
曲,EqNb	𠔓
由六,UyMl	𠔔
八刀𠕁,NbNdYc	𠔕
龷八,PnNb	𠔖
八束,NbTs	𠔗
弗厶,XfNbIs	𠔘
丿冂口一大,TpJkKkId	𠔙
龷八,ZyPnNb	𠔚
口又凵,KkTyJkNb	𠔛
丨,YjHsNb	𠔜
甘,FgNb	𠔝
山山山,UsUsUsNb	𠔞
八隹又,NbMiTy	𠔟
八刀一ㄅ口又一,NbNdDiDi	𠔠
八刀,FgNbNbNd	𠔡
八刀木支,NbNdYmRi	𠔢
工几丶龷八,LgQjOdNb	𠔣
亼口龷八,ZiKkPnNb	𠔤
〢灬,NbWjNdRh	𠔥
口力,KkClSjNb	𠔦
十,PsYjNb	𠔧
ㄥ人䒑,AeHrNbRh	𠔨
厶厶𠕁,IsIsYcNb	𠔩
八米田,NbFmCt	𠔪
乍,FgNbAa	𠔫
一大十目,DiIdPsNb	𠔬
八厶厶厶人彡,NbIsIsFs	𠔭
䒑几丶,NbWjRhOd	𠔮
业⺶㇏,NbOySyOd	𠔯
厶厶𠕁,IsIsYcNb	𠔰
甲龷八,HjPnNb	𠔱
八厶儿夫,YgNbIsGf	𠔲
厂䒑,XlUcNbRh	𠔳
尸古,FgNbFsOg	𠔴
大可,FgNbIdEk	𠔵
十目,FgNbPsNb	𠔶
尚攵龷八,SsApPnNb	𠔷
冖一口田,GgDiKkNb	𠔸
乂乂冖龷八,YjEiEiNb	𠔹
目米戊一口,EmFmMuKk	𠔺
冂一口冂一口冂一口冂一口,YjJkDiNb	𠔻
,Fy	𠔼
冂冂,JkJk	𠔽
丿⺆一,TpJkDi	𠔾
冂人,JkHr	𠔿
冂又,JkTy	𠕀
𠕁,Yc	𠕁
一冂二,DiJkNe	𠕂
冂亡,JkNw	𠕃
冂冂,JkJk	𠕄
一冂二,DiJkNe	𠕅
𠂇月,PsFy	𠕆
𠂇冂丶,PsJkOd	𠕇
冂亾,JkNw	𠕈
穴,Ax	𠕉
月丁,FyPd	𠕊
冂井,JkVj	𠕋
冂日,JkUr	𠕌
宀一儿,GgDiRe	𠕍
冂人人,JkHrHr	𠕎
冂䒑乚,JkNbAe	𠕏
冂屮凵,JkMcJk	𠕐
冂,JkQg	𠕑
巾冫,AjGbGb	𠕒
屮一月,McDiFy	𠕓
月⺼,FyFy	𠕔
冂口刀,JkKkNd	𠕕
⺜木,UrYm	𠕖
丨冂,AtHsJk	𠕗
冂小,JkKcIx	𠕘
冂二日,JkNeUr	𠕙
冂䒑小,JkNbIx	𠕚
⺆丰口,JkJfKk	𠕛
穴六,AxMl	𠕜
⺜夕夕,UrVxVx	𠕝
人人冂冂冂,HrHrJkJk	𠕞
冂土⺊口,JkEtFbKk	𠕟
⺜戊𠃌,UrMuAe	𠕠
冂厶口心,JkIsKkLx	𠕡
冂八冊,JkNbYc	𠕢
⺜⺈臼,UrDdYj	𠕣
⺜兔,UrAt	𠕤
⺜至刂,UrGiNd	𠕥
⺜亼⺝刂,UrZiFyNd	𠕦
