㐀	21{卢字头}1
䴽	{木框}人人十
䴾	{木框}人人工
䴿	{木框}人人豕
䵀	{木框}人人貝
䵁	{木框}人人寸
䵂	{木框}人人古
䵃	{木框}人人黄
䵄	{木框}人人豆
䵅	敖{木框}人夊
䵆	{木框}人人豕
䵇	麻攵
䵈	彳幺夂麻
䵉	麻亼{青字底}刂
䵊	{周字框}亠黄
䵋	黄{左字框}{青字底}
䵌	黄大人人
䵍	黄{享字头}子
䵎	黄山而
䵏	黄羽{全字头}彡
䵐	黄吅田十
䵑	禾{全字头}氺4
䵒	禾{全字头}氺日
䵓	禾{全字头}氺牛
䵔	禾{全字头}氺1
䵕	禾{全字头}氺古
䵖	臣又禾氺
䵗	禾{全字头}氺田
䵘	禾{全字头}氺{横两撇}
䵙	禾{全字头}氺夕
䵚	禾{全字头}氺臼
䵛	禾{全字头}氺土
䵜	禾{全字头}氺辰
䵝	黑5
䵞	黑刂
䵟	黑干
䵠	黑勹4
䵡	1大黑
䵢	黑未
䵣	黑日1
䵤	1廾黑
䵥	黑{负字头}巴
䵦	黑氵1{于无横}
䵧	十戈黑
䵨	黑尤彡
䵩	禾刂黑
䵪	黑日{比字旁}匕
䵫	宀夕㔾黑
䵬	黑水日
䵭	黑耂日
䵮	黑日1{横两撇}
䵯	黑千里
䵰	黑{卧人}日{横两撇}
䵱	黑壴口
䵲	黑口吅木
䵳	黑亼{临下角}日
䵴	黑黽
䵵	{竹头}目大黑
䵶	句黽
䵷	土土黽
䵸	禾火黽
䵹	矢口1黽
䵺	土目{鼎左角}{鼎右角}
䵻	目{鼎左角}{鼎右角}彐
䵼	爿{然左角}寸{鼎右角}
䵽	壴支土厶
䵾	亻寸壴支
䵿	壴支{卢字头}口
䶀	壴支亼口
䶁	壴支水日
䶂	鼠勹4
䶃	鼠亽5
䶄	鼠干丷
䶅	鼠各
䶆	鼠隹
䶇	鼠由{青字底}
䶈	鼠甫寸
䶉	鼠{留字头}田
䶊	自田丌{里无日}
䶋	自田丌及
䶌	自田丌巳
䶍	至自田丌
䶎	自田丌口
䶏	丷{弟省}自丌
䶐	自田丌日
䶑	自田丌龰
䶒	亠丷2女
䶓	巾亠丷二
䶔	齒也
䶕	齒巴
䶖	齒亽5
䶗	齒可
䶘	齒立
䶙	齒匚{叚右角}
䶚	齒虫
䶛	歹刂齒
䶜	齒{告字头}口
䶝	齒大人人
䶞	齒{其字头无横}{共字底}
䶟	齒{负字头}臼
䶠	戊1口齒
䶡	齒貝刂
䶢	齒戊1口
䶣	齒山豆
䶤	齒骨
䶥	齒虍且
䶦	齒龶貝
䶧	齒土土{见字底}
䶨	齒僉
䶩	齒亠丷二
䶪	齒十戈隹
䶫	齒吅厂攵
䶬	干干立{龍字边}
䶭	龙王
䶮	龙1大
䶯	女3{见二}乂
䶰	3{见二}1毛
䶱	夂{冬字底}3乂
䶲	冂{里无日}3乂
䶳	侖口口几
䶴	火欠侖口
䶵	侖口口虎
䶶	{卢字头}1扌{定字底}
䶷	口儿
䶸	口3厶
䶹	䶹
䶺	月冂入
䶻	月冖{见字底}
䶼	月八厶心
䶽	月乂凵夂
䶾	臼人欠
䶿	飠儿
一	1
丁	丁
丂	15
七	七
丄	21
丅	12
丆	13
万	1{万无横}
丈	1乂
三	三
上	{卢字头}1
下	1卜
丌	丌
不	不
与	151
丏	1255
丐	1{卢字头}5
丑	5{里无日}
丒	刀41
专	二54
且	且
丕	不1
世	廿5
丗	{带字头}1
丘	{丘无横}1
丙	1冂人
业	业
丛	人人1
东	{东二}小
丝	纟纟
丞	5水1
丟	王厶
丠	{北字旁}匕1
両	1冂山
丢	3土厶
丣	丌匚{叚右角}
两	两
严	1{业无横}厂
並	䒑业
丧	土丷{畏字底}
丨	2
丩	丩
个	{全字头}2
丫	丷2
丬	丬
中	口2
丮	5{举字底}
丯	彡2
丰	丰
丱	5川1
串	口口2
丳	口口{乔字底}
临	{临字旁}{临右角}{临下角}
丵	业{南字心}
丶	4
丷	丷
丸	丸
丹	{周字框}亠
为	4{为字框}4
主	4王
丼	井4
丽	1{丽下角}{丽下角}
举	{学字头}{共字底}{举字底}
丿	3
乀	4
乁	4
乂	乂
乃	乃
乄	54
久	{久二}4
乆	5人
乇	3七
么	3厶
义	4㐅
乊	3丷
之	之
乌	乌
乍	乍
乎	3丷{于无横}
乏	3之
乐	{乐二}小
乑	3{乑无撇}
乒	{丘无横}13
乓	{丘无横}14
乔	3大{乔字底}
乕	{反字框}二巾
乖	千{北字旁}匕
乗	{禾框}龷
乘	{禾框}{北字旁}匕
乙	6
乚	5
乛	5
乜	55
九	九
乞	{卧人}6
也	也
习	习
乡	乡
乢	山5
乣	幺5
乤	1卜6
乥	3丷6
书	5524
乧	斗6
乨	厶口5
乩	{卢字头}口5
乪	6田
乫	力口6
乬	匚{叚右角}6
乭	石6
乮	卯6
乯	3丷{于无横}6
买	544大
乱	舌5
乲	冫欠6
乳	爫子5
乴	扌斤6
乵	辛5
乶	甫6
乷	氵{少三}36
乸	也母
乹	十日十5
乺	戶斤6
乻	方{全字头}{冬字底}6
乼	氵4王6
乽	耂日6
乾	十日十6
乿	爫糸5
亀	{负字头}日日5
亁	十日干6
亂	爫龴冂5
亃	米夕㐄5
亄	士冖豆5
亅	2
了	了
亇	{尔字头}2
予	予
争	{尔字头}{争字底}
亊	1丷{事字底}
事	1口{事字底}
二	二
亍	亍
于	1{于无横}
亏	二5
亐	二5
云	云
互	1彑
亓	二{乔字底}
五	五
井	井
亖	二二
亗	山二
亘	1日1
亙	12{候右角}{冬字底}
亚	1业
些	止匕二
亜	二口{临字旁}
亝	厶厶厶二
亞	三212
亟	了口又1
亠	亠
亡	亡
亢	亠几
亣	4丌
交	六乂
亥	亥
亦	亠{亦字底}
产	{立无横}厂
亨	{享字头}了
亩	亠田
亪	亠{亦字底}4
享	{享字头}子
京	{享字头}小
亭	{亮字头}丁
亮	{亮字头}几
亯	{享字头}日
亰	亠日小
亱	亠亻日1
亲	立朩
亳	{亮字头}3七
亴	{亮字头}土九
亵	{衣框}扌丸
亶	亠囗口1
亷	{立无横}厂{聿三}{兼无䒑无彐}
亸	{享字头}子丷十
亹	亠{臼裂}冂且
人	人
亻	亻
亼	亼
亽	亽
亾	亾
亿	亻6
什	亻十
仁	亻二
仂	亻力
仃	亻丁
仄	厂人
仅	亻又
仆	亻卜
仇	亻九
仈	亻八
仉	亻几
今	亽5
介	{全字头}{乔字底}
仌	人人
仍	亻乃
从	人人
仏	亻厶
仐	{全字头}十
仑	仑
仒	{全字头}{冬字底}
仓	{全字头}㔾
仔	亻子
仕	亻士
他	亻也
仗	亻1乂
付	亻寸
仙	亻山
仚	{全字头}山
仛	亻3七
仜	亻工
仝	{全字头}工
仞	亻刀4
仟	亻千
仠	亻干
仡	亻{卧人}6
仢	亻勹4
代	亻弋
令	亽龴
以	{以字旁}人
仦	亻小
仧	{卢字头}1{全字头}
仨	亻三
仩	亻{卢字头}1
仪	亻4㐅
仫	亻3厶
们	亻门
仭	亻刀4
仮	亻{反字框}又
仯	亻{少三}3
仰	亻{卬字旁}卩
仱	亻亽5
仲	亻口2
仳	亻{比字旁}匕
仴	亻月
仵	亻{卧人}十
件	亻牛
价	亻{全字头}{乔字底}
仸	亻3大
仹	亻丰
仺	{全字头}匚1
任	亻3士
仼	亻王
份	亻八刀
仾	亻1彑
仿	亻方
伀	亻八厶
企	{全字头}止
伂	亻1巾
伃	亻予
伄	亻弓2
伅	亻1{屯无横}
伆	亻勹{横两撇}
伇	亻殳
伈	亻心
伉	亻亠几
伊	亻{聿三}3
伋	亻及
伌	亻厂㔾
伍	亻五
伎	亻支
伏	亻犬
伐	亻戈
休	亻木
伒	亻斤
伓	亻不
伔	亻冖几
伕	亻夫
伖	亻{左字框}又
众	{全字头}人人
优	亻尤
伙	亻火
会	{全字头}云
伛	亻匚乂
伜	亻九十
伝	亻云
伞	{全字头}丷十
伟	亻韦
传	亻二54
伡	亻车
伢	亻牙
伣	亻见
伤	亻{卧人}力
伥	亻长
伦	亻仑
伧	亻{全字头}㔾
伨	亻勹冫
伩	亻文
伪	亻4{为字框}4
伫	亻宀1
伬	亻尸4
伭	亻亠幺
伮	亻女又
伯	亻白
估	亻古
伱	亻{全字头}小
伲	亻尸匕
伳	亻廿5
伴	亻丷{举字底}
伵	亻四
伶	亻亽龴
伷	亻由
伸	亻日2
伹	亻且
伺	亻51口
伻	亻干丷
似	亻{以字旁}人
伽	亻力口
伾	亻不1
伿	亻口八
佀	亻㠯
佁	亻厶口
佂	亻1{止变}
佃	亻田
佄	亻甘
佅	亻未
但	亻日1
佇	亻宀丁
佈	亻{左字框}巾
佉	亻土厶
佊	亻皮
佋	亻刀口
佌	亻止匕
位	亻立
低	亻氏4
住	亻4王
佐	亻{左字框}工
佑	亻{左字框}口
佒	亻{见二}大
体	亻木1
佔	亻{卢字头}口
何	亻可
佖	亻心3
佗	亻宀匕
佘	{全字头}示
余	{全字头}{余字底}
佚	亻3夫
佛	亻弗
作	亻乍
佝	亻句
佞	亻二女
佟	亻夂{冬字底}
你	亻{尔字头}小
佡	亻{全字头}山
佢	亻匚{叚右角}
佣	亻用
佤	亻瓦
佥	亼{学字头}1
佦	亻石
佧	亻{卢字头}1卜
佨	亻勹巳
佩	亻{风省}1巾
佪	亻囗口
佫	亻各
佬	亻老
佭	亻夂㐄
佮	亻亼口
佯	亻羊
佰	亻1白
佱	亼1{止变}
佲	亻夕口
佳	亻土土
佴	亻耳
併	亻䒑廾
佶	亻士口
佷	亻艮
佸	亻舌
佹	亻{负字头}厂㔾
佺	亻{全字头}王
佻	亻{见字底}冫{飞无折}
佼	亻六乂
佽	亻冫欠
佾	亻八{青字底}
使	亻1口㐅
侀	亻1廾刂
侁	亻{告字头}儿
侂	亻广3七
侃	亻口{荒字底}
侄	亻至
侅	亻亥
來	{木框}人人
侇	亻{大框}弓
侈	亻夕夕
侉	亻大二5
侊	亻光
例	亻歹刂
侌	亽5云
侍	亻土寸
侎	亻米
侏	亻3未
侐	亻3皿
侑	亻{左字框}{青字底}
侒	亻宀女
侓	亻聿
侔	亻厶牛
侕	亻而
侖	侖
侗	亻冂1口
侘	亻宀3七
侙	亻弋工
侚	亻勹日
供	亻龷八
侜	亻舟
依	亻衣
侞	亻女口
侟	亻{左字框}2子
侠	亻夫丷
価	亻覀
侢	亻{噩字框}冂
侣	亻口口
侤	亻耂15
侥	亻{尧字头}1{见字底}
侦	亻{卢字头}贝
侧	亻贝刂
侨	亻3大{乔字底}
侩	亻{全字头}云
侪	亻齐
侫	亻亡女
侬	亻冖{衣省}
侭	亻尸4{冬字底}
侮	亻{卧人}母
侯	亻{候右角}矢
侰	亻{聿三}3口
侱	亻口王
侲	亻辰
侳	亻人人土
侴	亼5{里无日}刂
侵	亻彐冖又
侶	亻口3囗
侷	亻尸5口
侸	亻豆
侹	亻3士廴
侺	亻山亽5
侻	亻丷口儿
侼	亻十冖子
侽	亻田力
侾	亻耂子
便	亻{凬字心}㐅
俀	亻爫女
俁	亻口5大
係	亻3糸
促	亻足
俄	亻3扌戈
俅	亻1氺4
俆	亻{全字头}{余字底}
俇	亻犭王
俈	亻{告字头}口
俉	亻五口
俊	亻厶八夂
俋	亻口巴
俌	亻甫
俍	亻4艮
俎	人人且
俏	亻{尚字头}{青字底}
俐	亻禾刂
俑	亻龴{甬字底}
俒	亻宀二{见字底}
俓	亻1巛工
俔	亻見
俕	亻宀木
俖	亻不口
俗	亻谷
俘	亻爫子
俙	亻乂{左字框}巾
俚	亻里
俛	亻{免五}{见字底}
俜	亻由15
保	亻口木
俞	亼{青字底}刂
俟	亻厶矢
俠	亻大人人
信	亻言
俢	亻夂彡
俣	亻口1大
俤	亻丷{弟省}
俥	亻車
俦	亻{寿字头}寸
俧	亻士心
俨	亻1{业无横}厂
俩	亻两
俪	亻1{丽下角}{丽下角}
俫	亻未丷
俬	亻禾厶
俭	亻亼{学字头}1
修	亻2夂彡
俯	亻广亻寸
俰	亻禾口
俱	亻{具字头无横}{共字底}
俲	亻六乂力
俳	亻非
俴	亻戈戈
俵	亻龶{衣省}
俶	亻{卢字头}1又
俷	亻月巴
俸	亻{寿字头}4{举字底}
俹	亻三22
俺	亻大日5
俻	亻夂田
俼	亻{充字头}{青字底}
俽	亻斤欠
俾	亻白3十
俿	亻虎
倀	亻{镸无厶}{畏字底}
倁	亻矢口
倂	亻31干
倃	亻夂卜口
倄	亻乂{左字框}{青字底}
倅	亻亠人十
倆	亻1巾入
倇	亻宀夕㔾
倈	亻{木框}人人
倉	亽尸1口
倊	亻八厶心
個	亻囗古
倌	亻宀㠯
倍	亻立口
倎	亻{典字头}{共字底}
倏	亻2夂犬
倐	亻2夂火
們	亻門
倒	亻至刂
倓	亻火火
倔	亻尸屮凵
倕	亻千艹士
倖	亻土{南字心}
倗	亻月月
倘	亻尚
候	亻2{候右角}矢
倚	亻大可
倛	亻{其字头无横}{共字底}
倜	亻{周字框}土口
倝	十日十人
倞	亻{享字头}小
借	亻龷日
倠	亻隹
倡	亻日日
倢	亻1{聿三}龰
倣	亻方攵
値	亻十目5
倥	亻穴工
倦	亻丷夫㔾
倧	亻宀示
倨	亻尸古
倩	亻龶{青字底}
倪	亻臼儿
倫	亻侖
倬	亻{卢字头}日十
倭	亻禾女
倮	亻田木
倯	亻木八厶
倰	亻土八夂
倱	亻日{比字旁}匕
倲	亻束1
倳	亻1口{事字底}
倴	亻大十廾
倵	亻1弋止
倶	亻目{共字底}
倷	亻大示
倸	亻爫木
倹	亻亼口人
债	亻龶贝
倻	亻耳阝
值	亻十{具字头无横}1
倽	亻{全字头}{舍字底}
倾	亻{比字旁}页
倿	亻立女
偀	亻艹{见二}大
偁	亻爫冂{里无日}
偂	亻䒑{青字底}刂
偃	亻匚日女
偄	亻而大
偅	亻千里
偆	亻{寿字头}4日
假	亻{叚字旁无二}二又
偈	亻日勹亾
偉	亻韋
偊	亻3口{禺下}
偋	亻尸䒑廾
偌	亻艹{左字框}口
偍	亻日{定字底}
偎	亻田1{畏字底}
偏	亻户{扁字心}
偐	亻{立无横}厂彡
偑	亻風
偒	亻日1{横两撇}
偓	亻尸至
偔	亻吅二5
偕	亻{比字旁}匕白
偖	亻耂日
偗	亻{少三}3目
偘	亻口吅
偙	亻{立无横}冖巾
做	亻古攵
偛	亻千臼
停	亻{亮字头}丁
偝	亻{北字旁}匕{青字底}
偞	亻廿5木
偟	亻白王
偠	亻覀女
偡	亻{其字头无横}{共字底}5
偢	亻禾火
偣	亻音
偤	亻丷酉
健	亻聿廴
偦	亻疋{青字底}
偧	亻大夕夕
偨	亻止匕木
偩	亻{负字头}貝
偪	亻1口田
偫	亻彳土寸
偬	亻勹{横两撇}心
偭	亻面
偮	亻口耳
偯	亻{衣框}口
偰	亻丰刀大
偱	亻{反字框}十目
偲	亻田心
偳	亻山而
側	亻貝刂
偵	亻{卢字头}貝
偶	亻田{禺下}
偷	亻亼{青字底}刂
偸	亻入1巜
偹	亻2夂田
偺	亻夂卜日
偻	亻米女
偼	亻{卢字头}彐龰
偽	亻{刀中}5灬
偾	亻十艹贝
偿	亻龸云
傀	亻鬼
傁	亻臼2又
傂	亻{反字框}虎
傃	亻龶糸
傄	亻大丷目
傅	亻甫寸
傆	亻厂白小
傇	亻艹耳
傈	亻覀木
傉	亻辰寸
傊	亻口貝
傋	亻{寒字腰无横}{噩字框}冂
傌	亻馬
傍	亻{立无横}冖方
傎	亻十{具字头无横}{共字底}
傏	亻广肀口
傐	亻高
傑	亻夕㐄木
傒	亻爫幺大
傓	亻户羽
傔	亻䒑{聿三}{兼无䒑无彐}
傕	亻冖隹
傖	亻亽尸口
傗	亻亠幺田
傘	{全字头}人人十
備	亻龷3{甬字底}
傚	亻六乂攵
傛	亻宀谷
傜	亻爫缶
傝	亻日羽
傞	亻{差字头}工
傟	亻八厶羽
傠	亻言寸
傡	亻立立
傢	亻宀豕
傣	亻{寿字头}4氺
傤	亻十戈{车旁}
傥	亻{尚头}儿
傦	亻骨
傧	亻宀{丘无横}{共字底}
储	亻讠耂日
傩	亻又隹
傪	亻厶厶彡
傫	亻田糸
催	亻山隹
傭	亻广肀{甬字底}
傮	亻1曲日
傯	亻3囗心
傰	亻山月月
傱	亻彳人龰
傲	亻敖
傳	亻{凬字心}{虫无口}寸
傴	亻匚口吅
債	亻龶貝
傶	亻戊{卢字头}小
傷	亻{卧人}日{横两撇}
傸	亻{大框}乂乂
傹	亻音儿
傺	亻{祭字头}示
傻	亻3囗夂
傼	亻廿口夫
傽	亻音十
傾	亻{比字旁}頁
傿	亻1{止变}灬
僀	亻廿{见字底}巾
僁	亻3米心
僂	亻口十女
僃	亻艹勹{甬字底}
僄	亻覀示
僅	亻廿口龶
僆	亻車辶
僇	亻羽{全字头}彡
僈	亻日罒又
僉	僉
僊	亻覀大巳
僋	亻亽5貝
僌	亻車攵
働	亻千里力
僎	亻巳巳八
像	亻象
僐	亻羊䒑口
僑	亻3大口
僒	亻穴{聿三}口
僓	亻{贵字头}貝
僔	亻丷酉寸
僕	亻业{差字头}4
僖	亻壴口
僗	亻火火力
僘	亻尚攵
僙	亻黄
僚	亻大丷小
僛	亻{其字头无横}{共字底}欠
僜	亻癶豆
僝	亻尸子子
僞	亻爫3灬
僟	亻幺幺人
僠	亻3米田
僡	亻{凬字心}{虫无口}心
僢	亻爫冖㐄
僣	亻夫夫日
僤	亻吅田十
僥	亻土土{见字底}
僦	亻{享字头}小尤
僧	亻丷囗日
僨	亻十艹貝
僩	亻門月
僪	亻予3口
僫	亻三2心
僬	亻隹灬
僭	亻旡旡日
僮	亻立里
僯	亻米夕㐄
僰	{木框}冂{木框}人
僱	亻户隹
僲	亻覀夕㐄
僳	亻覀米
僴	亻門日
僵	亻1田1
僶	亻黽
僷	亻艹廿木
僸	亻木木示
價	亻覀貝
僺	亻口吅木
僻	亻辟
僼	亻曲豆
僽	亻禾火心
僾	亻爫冖夂
僿	亻宀{寒字腰无横}土
儀	亻{美字头}3戈
儁	亻隹2冂
儂	亻曲辰
儃	亻亠囗1
億	亻音心
儅	亻{尚头}田
儆	亻艹句攵
儇	亻罒1{衣省}
儈	亻亼{临下角}日
儉	亻僉
儊	亻木木疋
儋	亻{负字头}厂言
儌	亻白方攵
儍	亻{鬯字头无凵}凵夂
儎	亻十戈車
儏	亻歺又米
儐	亻宀1貝
儑	亻日幺灬
儒	亻{雨头}而
儓	亻士口至
儔	亻士5寸
儕	亻亠丷二
儖	亻臣{临右角}皿
儗	亻匕矢疋
儘	亻肀1皿
儙	亻{贵字头}㠯辶
儚	亻艹罒夕
儛	亻{卧人}卌㐄
儜	亻宀心丁
儝	亻火火木
儞	亻1八乂
償	亻{尚头}貝
儠	亻巛{巤字底}
儡	亻田田田
儢	亻虍田心
儣	亻广黄
儤	亻日龷氺
儥	亻士罒貝
儦	亻鹿灬
儧	亻夫夫貝
儨	亻斤斤貝
儩	亻貝日{横两撇}
優	亻三3夂
儫	亻{亮字头}豕
儬	亻龶{青字底}見
儭	亻立朩見
儮	亻厂禾止
儯	亻丷夫馬
儰	亻艹爫灬
儱	亻立{青字底}{龍字边}
儲	亻言耂日
儳	亻{免五}{比字旁}兔
儴	亻{衣框}吅1
儵	亻2夂黑
儶	亻山隹口
儷	亻1{丽下角}鹿
儸	亻罒糹隹
儹	亻{告字头}儿貝
儺	亻廿口隹
儻	亻{尚头}黑
儼	亻吅厂攵
儽	亻田田糸
儾	亻十口{衣省}
儿	儿
兀	1{见字底}
允	厶儿
兂	{左字框}55
元	二{见字底}
兄	口儿
充	{充字头}儿
兆	{见字底}冫{飞无折}
兇	乂凵儿
先	{告字头}儿
光	光
兊	八厶儿
克	古{见字底}
兌	八口儿
免	{免五}{见字底}
兎	3口{见字底}4
兏	{反字框}{卢字头}1儿
児	2日儿
兑	丷口儿
兒	臼儿
兓	旡旡
兔	兔
兕	{凹无横}1儿
兖	六厶儿
兗	亠八口儿
兘	二{见字底}厶口
兙	古{见字底}十
党	{尚头}儿
兛	古{见字底}千
兜	白{卬字旁}{叚右角}儿
兝	古{见字底}八刀
兞	古{见字底}毛
兟	{告字头}儿{告字头}儿
兠	白{北字旁}匕儿
兡	古{见字底}1白
兢	古{见字底}古{见字底}
兣	古{见字底}厂里
兤	光广黄
入	入
兦	入5
內	冂入
全	{全字头}王
兩	1巾入入
兪	入1{青字底}巜
八	八
公	八厶
六	六
兮	八15
兯	丷{节字底}
兰	丷三
共	龷八
兲	王八
关	䒑大
兴	{学字头}{共字底}
兵	{丘无横}{共字底}
其	{其字头无横}{共字底}
具	{具字头无横}{共字底}
典	{典字头}{共字底}
兹	䒑幺幺
兺	八刀口匕
养	{差字头}4{乔字底}
兼	䒑{聿三}{兼无䒑无彐}
兽	丷田1口
兾	丷田龷八
兿	䒑扌丸云
冀	{北字旁}匕田八
冁	丷田十{畏字底}
冂	冂
冃	冂二
冄	冂二
内	冂人
円	冂21
冇	{左字框}冂
冈	冂乂
冉	冂{里无日}
冊	冂{临字旁}1
冋	冂口
册	册
再	{噩字框}冂
冎	冎
冏	冂八口
冐	{冒字头}{青字底}
冑	由冂二
冒	{冒字头}目
冓	{寒字腰无横}{噩字框}冂
冔	{冒字头}口1{于无横}
冕	{冒字头}{免五}{见字底}
冖	冖
冗	冖几
冘	冖{见字底}
写	冖151
冚	冖山
军	冖车
农	冖{衣省}
冝	冖且
冞	冖米
冟	冖白匕
冠	冖二{见字底}寸
冡	冖1豕
冢	冖豕4
冣	冖耳又
冤	冖兔
冥	冖日六
冦	冖二{见字底}攴
冧	冖木木
冨	冖1口田
冩	冖臼勹灬
冪	冖艹日巾
冫	冫
冬	夂{冬字底}
冭	大{冬字底}
冮	冫工
冯	冫马
冰	冫水
冱	冫1彑
冲	冫口2
决	冫{候右角}人
冴	冫牙
况	冫口儿
冶	冫厶口
冷	冫亽龴
冸	冫丷{举字底}
冹	冫{左字框}又4
冺	冫民
冻	冫{东二}小
冼	冫{告字头}儿
冽	冫歹刂
冾	冫亼口
冿	冫聿
净	冫{尔字头}{争字底}
凁	冫束
凂	冫{免五}{见字底}
凃	冫{全字头}{余字底}
凄	冫1{妻字头无横}女
凅	冫囗古
准	冫隹
凇	冫木八厶
凈	冫爫{争字底}
凉	冫{享字头}小
凊	冫龶{青字底}
凋	冫{周字框}土口
凌	冫土八夂
凍	冫束1
凎	冫金
减	冫戊1口
凐	冫覀土
凑	冫{寿字头}4大
凒	冫山豆
凓	冫覀木
凔	冫亽尸口
凕	冫冖日六
凖	冫隹十
凗	冫山隹
凘	冫{其字头无横}{共字底}斤
凙	冫罒土{南字心}
凚	冫木木示
凛	冫亠囗示
凜	冫亠囗禾
凝	冫匕矢疋
凞	冫3臣灬
凟	冫士罒貝
几	几
凡	几4
凢	3几
凣	2几
凤	{风省}又
凥	尸几
処	夂几
凧	{风省}巾
凨	{风省}云
凩	{风省}木
凪	{风省}止
凫	{鸟省}几
凬	{风省}{凬字心}
凭	亻3士几
凮	{风省}1白
凯	山己几
凰	{风省}白王
凱	山豆几
凲	{风省}䒑{聿三}{兼无䒑无彐}
凳	癶豆几
凴	冫馬几
凵	凵
凶	乂凵
凷	土凵
凸	{凸无横}1
凹	{凹无横}1
出	屮凵
击	{举字底}凵
凼	水凵
函	5氺凵
凾	了口又凵
凿	业{南字心}凵
刀	刀
刁	51
刂	刂
刃	刀4
刄	刀4
刅	刀{横两点}
分	八刀
切	七刀
刈	乂刂
刉	{卧人}6刂
刊	干刂
刋	3{左字框}刂
刌	寸刂
刍	{负字头}彐
刎	勹{横两撇}刂
刏	气刂
刐	{周字框}亠刂
刑	1廾刂
划	戈刂
刓	二{见字底}刂
刔	{候右角}人刂
刕	刀刀刀
刖	月刂
列	歹刂
刘	文刂
则	贝刂
刚	冂乂刂
创	{全字头}㔾刂
刜	弗刂
初	衤刀
刞	且刂
刟	刀口刂
删	册刂
刡	民刂
刢	亽龴刂
刣	厶口刂
判	丷{夫三}刂
別	口35刂
刦	土厶刂
刧	土厶刀
刨	勹巳刂
利	禾刂
刪	冂{临字旁}1刂
别	口力刂
刬	1戈刂
刭	{经右角}工刂
刮	舌刂
刯	1日1刂
到	至刂
刱	井刀{横两点}
刲	土土刂
刳	大二5刂
刴	乃木刂
刵	耳刂
制	牛巾刂
刷	尸巾刂
券	丷夫刀
刹	乂朩刂
刺	{木框}冂刂
刻	亥刂
刼	土厶刀4
刽	{全字头}云刂
刾	夫丷刂
刿	山夕刂
剀	山己刂
剁	几木刂
剂	齐刂
剃	丷{弟省}刂
剄	1巛工刂
剅	豆刂
剆	4{即字旁}刂
則	貝刂
剈	口{青字底}刂
剉	人人土刂
削	{尚字头}{青字底}刂
剋	古{见字底}刂
剌	束刂
前	䒑{青字底}刂
剎	乂木4刂
剏	䒑廾刀4
剐	口冂人刂
剑	亼{学字头}1刂
剒	龷日刂
剓	禾{黎右角}刀
剔	日勹{横两撇}刂
剕	非刂
剖	立口刂
剗	戈戈刂
剘	{其字头无横}{共字底}刂
剙	䒑廾刀{横两点}
剚	1口{事字底}刂
剛	冂䒑山刂
剜	宀夕㔾刂
剝	彑氺刂
剞	大可刂
剟	又又又刂
剠	{享字头}小刂
剡	火火刂
剢	豕4刂
剣	亼口人刂
剤	齐二刂
剥	{录字头}氺刂
剦	大日5刂
剧	尸古刂
剨	丰石刂
剩	{禾框}{北字旁}匕刂
剪	䒑{青字底}刂刀
剫	广廿又刂
剬	山而刂
剭	尸至刂
剮	咼刂
副	1口田刂
剰	{禾框}龷刂
剱	亼口人4
割	宀丰口刂
剳	艹亼口刂
剴	山豆刂
創	亽尸1刂
剶	彑{豕省}刂
剷	{立无横}厂生刂
剸	{凬字心}{虫无口}寸刂
剹	羽{全字头}彡刂
剺	未攵厂刀
剻	山月月刂
剼	厶厶厶刂
剽	覀示刂
剾	匚口吅刂
剿	巛田木刂
劀	予3冂刂
劁	隹灬刂
劂	厂䒑䶹刂
劃	{聿三}土田刂
劄	{竹头}亼口刂
劅	罒勹虫刂
劆	广䒑{聿三}刂
劇	虍豕刂
劈	辟刀
劉	{留字头}金刂
劊	亼{临下角}丷刂
劋	口吅木刂
劌	止戊1刂
劍	僉刂
劎	僉刀
劏	{尚头}田刂
劐	艹隹又刂
劑	亠丷2刂
劒	僉刀4
劓	自田丌刂
劔	僉刀4
劕	斤斤貝刂
劖	{免五}{比字旁}匕刂
劗	{告字头}儿{告字头}刂
劘	麻非刂
劙	彑{豕省}虫刂
劚	尸2冫刂
力	力
劜	力5
劝	又力
办	力{横两点}
功	工力
加	力口
务	夂力
劢	1{万无横}力
劣	{少三}3力
劤	斤力
劥	亠几力
劦	力力力
劧	手力
动	云力
助	且力
努	女又力
劫	土厶力
劬	句力
劭	刀口力
劮	3夫力
劯	石力
劰	白力
励	厂1{万无横}力
劲	{经右角}工力
劳	艹冖力
労	{学字头}冖力
劵	丷夫力
劶	{反字框}1口力
劷	{差字头}力
劸	土土力
効	六乂力
劺	厶牛力
劻	匚王力
劼	士口力
劽	歹刂力
劾	亥力
势	扌丸力
勀	古{见字底}力
勁	1巛工力
勂	{告字头}口力
勃	十冖子力
勄	{卧人}母力
勅	束力
勆	4{即字旁}力
勇	龴{甬字底}力
勈	龴{甬字底}力
勉	{免五}{见字底}力
勊	古{见字底}力
勋	口贝力
勌	丷夫㔾力
勍	{享字头}小力
勎	土八土力
勏	立口力
勐	子皿力
勑	{木框}人人力
勒	革力
勓	{比字旁}匕白力
勔	面力
動	千里力
勖	{冒字头}目力
勗	日且力
勘	{其字头无横}{共字底}5力
務	予3夂力
勚	廿5贝力
勛	口貝力
勜	八厶羽力
勝	月丷夫力
勞	火火冖力
募	艹日大力
勠	羽{全字头}彡力
勡	覀示力
勢	土八土力
勣	龶貝力
